date,district,code_02_allergy_insect,code_06_breathing,code_09_cardiac_arrest,code_10_chest_pain,code_12_seizure,code_13_blood_sugar,code_17_falls,code_18_headache,code_19_heart_problems,code_20_heat_cold_exposure,code_28_stroke_tia,code_31_loss_of_consciousness,day_of_week,is_weekend,month,day_of_year,year,week_of_year,is_public_holiday,covid_flag,doy_sin,doy_cos
2018-01-01,Charlottenburg-Wilmersdorf,0.0,11.0,1.0,7.0,3.0,0.0,9.0,1.0,6.0,0.0,4.0,12.0,0,False,1,1,2018,1,1,0,0.017201575418260506,0.9998520419557735
2018-01-01,Friedrichshain-Kreuzberg,1.0,7.0,1.0,4.0,7.0,1.0,14.0,0.0,4.0,0.0,0.0,15.0,0,False,1,1,2018,1,1,0,0.017201575418260506,0.9998520419557735
2018-01-01,Lichtenberg,1.0,8.0,0.0,3.0,1.0,2.0,10.0,0.0,4.0,0.0,0.0,7.0,0,False,1,1,2018,1,1,0,0.017201575418260506,0.9998520419557735
2018-01-01,Marzahn-Hellersdorf,1.0,6.0,0.0,5.0,0.0,2.0,8.0,1.0,5.0,0.0,2.0,2.0,0,False,1,1,2018,1,1,0,0.017201575418260506,0.9998520419557735
2018-01-01,Mitte,1.0,11.0,1.0,7.0,3.0,3.0,18.0,1.0,4.0,0.0,3.0,19.0,0,False,1,1,2018,1,1,0,0.017201575418260506,0.9998520419557735
2018-01-01,Neukölln,1.0,12.0,2.0,4.0,3.0,2.0,20.0,1.0,4.0,0.0,3.0,5.0,0,False,1,1,2018,1,1,0,0.017201575418260506,0.9998520419557735
2018-01-01,Pankow,1.0,8.0,1.0,2.0,3.0,2.0,10.0,0.0,6.0,0.0,6.0,11.0,0,False,1,1,2018,1,1,0,0.017201575418260506,0.9998520419557735
2018-01-01,Reinickendorf,0.0,10.0,2.0,4.0,4.0,2.0,10.0,0.0,5.0,0.0,3.0,3.0,0,False,1,1,2018,1,1,0,0.017201575418260506,0.9998520419557735
2018-01-01,Spandau,1.0,9.0,2.0,4.0,0.0,2.0,11.0,0.0,1.0,0.0,2.0,7.0,0,False,1,1,2018,1,1,0,0.017201575418260506,0.9998520419557735
2018-01-01,Steglitz-Zehlendorf,1.0,12.0,0.0,2.0,1.0,0.0,12.0,0.0,4.0,0.0,4.0,8.0,0,False,1,1,2018,1,1,0,0.017201575418260506,0.9998520419557735
2018-01-01,Tempelhof-Schöneberg,0.0,11.0,1.0,5.0,3.0,1.0,21.0,0.0,5.0,0.0,1.0,9.0,0,False,1,1,2018,1,1,0,0.017201575418260506,0.9998520419557735
2018-01-01,Treptow-Köpenick,0.0,5.0,3.0,7.0,2.0,0.0,13.0,0.0,3.0,0.0,2.0,12.0,0,False,1,1,2018,1,1,0,0.017201575418260506,0.9998520419557735
2018-01-02,Charlottenburg-Wilmersdorf,0.0,3.0,0.0,3.0,1.0,1.0,14.0,1.0,2.0,0.0,0.0,11.0,1,False,1,2,2018,1,0,0,0.03439806061360801,0.9994082116062598
2018-01-02,Friedrichshain-Kreuzberg,1.0,8.0,1.0,4.0,2.0,1.0,8.0,1.0,2.0,0.0,1.0,6.0,1,False,1,2,2018,1,0,0,0.03439806061360801,0.9994082116062598
