date,district,code_02_allergy_insect,code_06_breathing,code_09_cardiac_arrest,code_10_chest_pain,code_12_seizure,code_13_blood_sugar,code_17_falls,code_18_headache,code_19_heart_problems,code_20_heat_cold_exposure,code_28_stroke_tia,code_31_loss_of_consciousness,day_of_week,is_weekend,month,day_of_year,year,week_of_year,is_public_holiday,covid_flag,doy_sin,doy_cos
2018-01-01,Charlottenburg-Wilmersdorf,0.5,7.75,0.75,5.25,1.25,0.5,10.0,0.75,2.5,0.0,1.5,8.75,0,False,1,1,2018,1,1,0,0.0172015754182605,0.9998520419557736
2018-01-01,Friedrichshain-Kreuzberg,0.5,5.5,1.0,2.75,3.25,1.0,8.75,0.75,2.75,0.0,1.25,7.5,0,False,1,1,2018,1,1,0,0.0172015754182605,0.9998520419557736
2018-01-01,Lichtenberg,0.25,10.75,0.5,5.0,1.75,1.5,9.5,0.0,3.5,0.0,1.25,5.0,0,False,1,1,2018,1,1,0,0.0172015754182605,0.9998520419557736
2018-01-01,Marzahn-Hellersdorf,0.5,8.25,0.5,4.75,0.25,1.75,9.0,1.0,3.25,0.25,1.75,3.5,0,False,1,1,2018,1,1,0,0.0172015754182605,0.9998520419557736
2018-01-01,Mitte,0.25,10.0,0.75,5.75,3.0,1.25,11.5,1.5,5.0,0.0,2.5,11.25,0,False,1,1,2018,1,1,0,0.0172015754182605,0.9998520419557736
2018-01-01,Neukölln,0.25,10.5,1.0,6.5,2.25,1.5,11.75,0.25,4.5,0.0,2.25,5.5,0,False,1,1,2018,1,1,0,0.0172015754182605,0.9998520419557736
2018-01-01,Pankow,1.0,8.75,0.5,3.75,2.5,1.0,8.75,0.5,4.0,0.0,3.5,7.75,0,False,1,1,2018,1,1,0,0.0172015754182605,0.9998520419557736
2018-01-01,Reinickendorf,0.25,9.75,2.25,4.5,2.5,1.0,6.75,0.0,3.0,0.0,3.0,4.25,0,False,1,1,2018,1,1,0,0.0172015754182605,0.9998520419557736
2018-01-01,Spandau,0.5,7.5,1.5,5.25,1.0,1.25,8.75,0.0,2.25,0.0,1.5,5.5,0,False,1,1,2018,1,1,0,0.0172015754182605,0.9998520419557736
2018-01-01,Steglitz-Zehlendorf,0.25,10.0,0.5,3.5,1.0,0.5,11.0,0.75,2.75,0.0,1.75,6.0,0,False,1,1,2018,1,1,0,0.0172015754182605,0.9998520419557736
2018-01-01,Tempelhof-Schöneberg,0.25,7.25,2.0,6.0,3.25,0.5,12.75,0.0,4.25,0.0,2.25,5.75,0,False,1,1,2018,1,1,0,0.0172015754182605,0.9998520419557736
2018-01-01,Treptow-Köpenick,0.75,5.5,1.5,6.25,1.75,0.75,8.5,0.0,3.25,0.0,1.25,6.75,0,False,1,1,2018,1,1,0,0.0172015754182605,0.9998520419557736
2018-01-02,Charlottenburg-Wilmersdorf,0.4,7.6,0.8,5.8,1.0,0.6,9.6,0.6,2.6,0.0,1.6,7.8,1,False,1,2,2018,1,0,0,0.034398060613608,0.9994082116062598
2018-01-02,Friedrichshain-Kreuzberg,0.6,5.2,1.2,2.6,3.2,0.8,8.2,0.6,2.8,0.0,1.8,7.4,1,False,1,2,2018,1,0,0,0.034398060613608,0.9994082116062598
2018-01-02,Lichtenberg,0.2,9.6,0.6,5.0,1.6,1.6,8.8,0.0,4.6,0.0,1.6,5.4,1,False,1,2,2018,1,0,0,0.034398060613608,0.9994082116062598
2018-01-02,Marzahn-Hellersdorf,1.0,7.4,0.4,5.0,1.0,1.6,8.2,0.8,3.4,0.2,1.6,3.2,1,False,1,2,2018,1,0,0,0.034398060613608,0.9994082116062598
2018-01-02,Mitte,0.2,9.2,0.8,6.0,3.2,1.0,11.4,1.4,5.0,0.0,3.0,11.8,1,False,1,2,2018,1,0,0,0.034398060613608,0.9994082116062598
2018-01-02,Neukölln,0.2,10.2,1.2,6.2,1.8,1.2,10.8,0.4,4.0,0.0,2.0,6.0,1,False,1,2,2018,1,0,0,0.034398060613608,0.9994082116062598
2018-01-02,Pankow,1.0,7.6,0.6,4.4,2.2,1.2,8.8,0.4,4.8,0.0,3.8,7.8,1,False,1,2,2018,1,0,0,0.034398060613608,0.9994082116062598
2018-01-02,Reinickendorf,0.4,9.0,2.4,3.8,2.2,0.8,7.2,0.0,2.4,0.0,3.0,4.6,1,False,1,2,2018,1,0,0,0.034398060613608,0.9994082116062598
2018-01-02,Spandau,0.4,8.8,1.4,5.0,0.8,1.0,8.4,0.2,1.8,0.0,1.8,5.2,1,False,1,2,2018,1,0,0,0.034398060613608,0.9994082116062598
2018-01-02,Steglitz-Zehlendorf,0.2,9.0,0.6,3.6,1.4,0.6,11.2,0.6,3.2,0.0,1.8,5.0,1,False,1,2,2018,1,0,0,0.034398060613608,0.9994082116062598
2018-01-02,Tempelhof-Schöneberg,0.2,7.6,2.0,5.6,2.8,0.6,12.4,0.0,3.6,0.0,2.0,5.8,1,False,1,2,2018,1,0,0,0.034398060613608,0.9994082116062598
2018-01-02,Treptow-Köpenick,0.6,6.4,1.4,5.8,1.6,0.8,8.4,0.0,3.0,0.0,1.2,6.0,1,False,1,2,2018,1,0,0,0.034398060613608,0.9994082116062598
2018-01-03,Charlottenburg-Wilmersdorf,0.5,7.333333333333333,0.6666666666666666,5.666666666666667,1.0,0.8333333333333334,10.666666666666666,0.5,2.6666666666666665,0.0,1.8333333333333333,7.666666666666667,2,False,1,3,2018,1,0,0,0.0515843668694083,0.9986686402879996
