outcome,climate_var,lag,coef,ci_low,ci_high,pval,aic,n,cv_std,pval_fdr,significant
code_06_breathing,pm25,1,0.014938298848977398,-0.10262881927516337,0.13250541697311818,0.8033323890205827,4290.62723494418,364,6.807719563240271,0.9986277772383971,False
code_06_breathing,pm10,1,0.014764073922026139,-0.09784667403631965,0.1273748218803719,0.7972055705292048,4290.623248941871,364,7.50550194533776,0.9986277772383971,False
code_06_breathing,no2,3,0.01979637827557648,-0.12897016550453433,0.1685629220556873,0.794237030539875,4266.406213644318,362,5.015050146320838,0.9986277772383971,False
code_06_breathing,o3,3,0.00014441503007395912,-0.16443507587004602,0.16472390593019393,0.9986277772383971,4266.475703408434,362,19.97270054418291,0.9986277772383971,False
code_06_breathing,so2,1,0.018801626485108136,-0.1005413035149295,0.1381445564851458,0.7574901534420203,4290.590833662521,364,1.037835984656658,0.9986277772383971,False
code_31_loss_of_consciousness,pm25,0,0.014903461040041036,-0.1024844845621719,0.13229140664225397,0.803488301431281,4350.096350604754,365,6.799861062318877,0.9986277772383971,False
code_31_loss_of_consciousness,pm10,0,0.01858000221312185,-0.09380039690224888,0.13096040132849257,0.7459051193766248,4350.053456074203,365,7.497671544943006,0.9986277772383971,False
code_31_loss_of_consciousness,no2,0,0.026506745281497057,-0.12282206915673753,0.17583555971973164,0.7279114048297626,4350.036349485043,365,4.997187539864492,0.9986277772383971,False
code_31_loss_of_consciousness,o3,0,0.030820085197537806,-0.1298706906298039,0.19151086102487952,0.7069792373990518,4350.011964114832,365,19.895244604658263,0.9986277772383971,False
code_31_loss_of_consciousness,so2,0,0.015945270592911672,-0.10296030630132773,0.13485084748715107,0.7926802936100519,4350.0887338767425,365,1.0374242464884071,0.9986277772383971,False
code_17_falls,pm25,0,-0.0027116850687027845,-0.11999749717491379,0.11457412703750822,0.9638562416670745,4583.556931342149,365,6.799861062318877,0.9986277772383971,False
code_17_falls,pm10,0,-0.0014521286726972805,-0.11373778879477288,0.11083353144937831,0.9797780768924156,4583.558310473967,365,7.497671544943006,0.9986277772383971,False
code_17_falls,no2,0,0.00543158424627044,-0.14375086943577473,0.1546140379283156,0.9431109791489487,4583.55383713822,365,4.997187539864492,0.9986277772383971,False
code_17_falls,o3,3,0.02590438713848458,-0.13847875791813763,0.1902875321951068,0.7574266942887613,4545.772987163091,362,19.97270054418291,0.9986277772383971,False
code_17_falls,so2,0,0.0002896140883143753,-0.11850853772984525,0.119087765906474,0.9961876172124514,4583.558914158861,365,1.0374242464884071,0.9986277772383971,False
code_09_cardiac_arrest,pm25,3,0.0004950841480221221,-0.12160837564096241,0.12259854393700667,0.9936593375692002,2620.8450081893643,362,6.817007806330225,0.9986277772383971,False
code_09_cardiac_arrest,pm10,3,0.00015530106456812694,-0.11663444997437195,0.1169450521035082,0.9979205074875375,2620.8450645966554,362,7.514977112319724,0.9986277772383971,False
code_09_cardiac_arrest,no2,3,0.03323533508084869,-0.1200889141007413,0.18655958426243868,0.6709448251560648,2620.6528207818533,362,5.015050146320838,0.9986277772383971,False
code_09_cardiac_arrest,o3,3,0.00876712450556446,-0.16139237514913976,0.1789266241602687,0.9195638081477583,2620.8344759043757,362,19.97270054418291,0.9986277772383971,False
code_09_cardiac_arrest,so2,3,-0.0016806440749052437,-0.1257777449132421,0.1224164567634316,0.9788236420423997,2620.844374787017,362,1.0385142798119393,0.9986277772383971,False
code_10_chest_pain,pm25,0,0.01155345462746146,-0.1060749989438934,0.1291819081988163,0.8473447239910251,4010.875420022144,365,6.799861062318877,0.9986277772383971,False
code_10_chest_pain,pm10,0,0.007196860439656417,-0.10542501529110118,0.11981873617041403,0.9003277621556902,4010.8965856756286,365,7.497671544943006,0.9986277772383971,False
code_10_chest_pain,no2,0,0.015405905696811651,-0.13420883510930975,0.16502064650293308,0.8400586299970085,4010.8719954844573,365,4.997187539864492,0.9986277772383971,False
code_10_chest_pain,o3,0,-0.03134210761406431,-0.1923746136590722,0.1296903984309436,0.7028529981025763,4010.7680790039017,365,19.895244604658263,0.9986277772383971,False
code_10_chest_pain,so2,2,0.00200693193284876,-0.11797094907908269,0.12198481294478021,0.9738457776455209,3989.2653897666255,363,1.0380366634942482,0.9986277772383971,False
code_19_heart_problems,pm25,2,-0.012400502233470709,-0.13117746692213225,0.10637646245519083,0.8378664281671144,3797.195801095626,363,6.808651690704121,0.9986277772383971,False
code_19_heart_problems,pm10,1,-0.025051011559912587,-0.13813116893913285,0.0880291458193077,0.6641452929224065,3807.8582827759183,364,7.50550194533776,0.9986277772383971,False
code_19_heart_problems,no2,3,-0.013548986542948761,-0.16287702711669846,0.13577905403080096,0.8588537503616427,3786.4197160593535,362,5.015050146320838,0.9986277772383971,False
code_19_heart_problems,o3,3,-0.01731692076687138,-0.18248629439171574,0.14785245285797297,0.8371898473573538,3786.409494439006,362,19.97270054418291,0.9986277772383971,False
code_19_heart_problems,so2,3,-0.01605604105632834,-0.13681252315848993,0.10470044104583325,0.7944002043030302,3786.38393614291,362,1.0385142798119393,0.9986277772383971,False
code_28_stroke_tia,pm25,3,-0.003533300617193664,-0.12293848920655547,0.11587188797216814,0.9537510232718368,3470.5443764693596,362,6.817007806330225,0.9986277772383971,False
code_28_stroke_tia,pm10,3,-0.00408686972969928,-0.11824822916024322,0.11007448970084466,0.9440624313267738,3470.5428049281695,362,7.514977112319724,0.9986277772383971,False
code_28_stroke_tia,no2,3,0.01149716292743514,-0.13844665325833605,0.16144097911320632,0.8805412461300822,3470.5248879399396,362,5.015050146320838,0.9986277772383971,False
code_28_stroke_tia,o3,3,-0.0037823860713268632,-0.16963693035610794,0.16207215821345422,0.9643481525657521,3470.545656801868,362,19.97270054418291,0.9986277772383971,False
code_28_stroke_tia,so2,1,-0.025750687807068035,-0.14610779724074643,0.09460642162661036,0.6749684540105287,3489.1963499511844,364,1.037835984656658,0.9986277772383971,False
code_12_seizure,pm25,3,0.013414488973562125,-0.10653875983260079,0.13336773777972505,0.8265061837047772,3205.390807873997,362,6.817007806330225,0.9986277772383971,False
code_12_seizure,pm10,3,0.013720628520961758,-0.10095990796348431,0.12840116500540782,0.8146012197513013,3205.3840056951035,362,7.514977112319724,0.9986277772383971,False
code_12_seizure,no2,0,0.019850126804013202,-0.1313845689734423,0.17108482258146873,0.7969837048220454,3231.2345886352514,365,4.997187539864492,0.9986277772383971,False
code_12_seizure,o3,1,-0.0403163637223823,-0.2039062735227859,0.12327354607802131,0.6290753607724857,3222.4113954737513,364,19.922243045945343,0.9986277772383971,False
code_12_seizure,so2,0,-0.0006639828772461474,-0.12113108216620293,0.11980311641171064,0.9913807766982685,3231.2980456575788,365,1.0374242464884071,0.9986277772383971,False
code_20_heat_cold_exposure,pm25,0,0.2052818743050815,0.0676593427952786,0.34290440581488435,0.0034607491265485762,1287.5402338699753,365,6.799861062318877,0.0648890461227858,False
code_20_heat_cold_exposure,pm10,0,0.21732337794907808,0.0853259576367997,0.3493207982613564,0.0012512753043789346,1285.918800663001,365,7.497671544943006,0.031281882609473365,True
code_20_heat_cold_exposure,no2,0,0.3104072357118905,0.12934188524286336,0.4914725861809176,0.0007793090437948813,1283.2576326554572,365,4.997187539864492,0.029224089142308046,True
code_20_heat_cold_exposure,o3,3,0.010464097985091788,-0.197232544819913,0.2181607407900966,0.9213397821589383,1286.0526744850094,362,19.97270054418291,0.9986277772383971,False
code_20_heat_cold_exposure,so2,0,0.37895385447587304,0.23913921613479008,0.518768492816956,1.0825613864127647e-07,1268.426982632675,365,1.0374242464884071,8.119210398095735e-06,True
code_02_allergy_insect,pm25,3,0.04584752140518918,-0.07847467534940034,0.17016971815977872,0.4698056986305712,2517.562635069208,362,6.817007806330225,0.9986277772383971,False
code_02_allergy_insect,pm10,3,0.043285104432254105,-0.07543137215645118,0.16200158102095938,0.4748434807813845,2517.570308925925,362,7.514977112319724,0.9986277772383971,False
code_02_allergy_insect,no2,3,0.06923961035615243,-0.08714149089275038,0.22562071160505526,0.38550515024682164,2517.3607325046382,362,5.015050146320838,0.9986277772383971,False
code_02_allergy_insect,o3,3,-0.0512770468510835,-0.22289767206281386,0.12034357836064685,0.5581438512212189,2517.735303449388,362,19.97270054418291,0.9986277772383971,False
code_02_allergy_insect,so2,3,0.009253592255005341,-0.11713866880398698,0.13564585331399764,0.8858989471111824,2518.0698472321315,362,1.0385142798119393,0.9986277772383971,False
